Topic,Frequency of sentence,Sentence
0,10," Scientists have found a way of making a common treatment for lung, breast and ovarian cancers up to times more powerful, potentially sparing patients nausea, hair loss, tiredness and other effects of the damage the drug causes to healthy tissue"
0,10," Scientists have found a way of making a common treatment for lung, breast and ovarian cancers up to times more powerful, potentially sparing patients nausea, hair loss, tiredness and other effects of the damage the drug causes to healthy tissue"
0,9," Experts hailed an entirely new concept that could transform cancer treatment, although up until now it has only been demonstrated in mice and may not be so powerful in humans"
0,9, That matters because we may eventually be able to treat patients with smaller and more accurate doses of powerful chemotherapy drugs resulting in more effective treatment with fewer and milder side-effects
0,9," Experts hailed an entirely new concept that could transform cancer treatment, although up until now it has only been demonstrated in mice and may not be so powerful in humans"
0,9, That matters because we may eventually be able to treat patients with smaller and more accurate doses of powerful chemotherapy drugs resulting in more effective treatment with fewer and milder side-effects
2,9," Bee venom can be engineered to target tumours and could prove an effective future treatment for cancer, a new study has found"
2,9," During a trial, the poisonous chemical in a bee's sting, melittin, was attached to tiny molecules or nanoparticles that then attack and destroy cancer cells, leaving healthy cells intact"
2,9," This means that if the temperature of a tumour can be raised above that of the rest of the body, the payload is delivered directly to cancer cells, sparing healthy tissue"
2,9," Scientists have found a way of making a common treatment for lung, breast and ovarian cancers up to times more powerful, potentially sparing patients nausea, hair loss, tiredness and other effects of the damage the drug causes to healthy tissue"
2,9," Scientists have found a way of making a common treatment for lung, breast and ovarian cancers up to times more powerful, potentially sparing patients nausea, hair loss, tiredness and other effects of the damage the drug causes to healthy tissue"
0,8, Tens of thousands of cancer patients stand to avoid gruelling side-effects following a discovery that could dramatically cut chemotherapy doses
0,8," More than , people a year in the UK are diagnosed with cancers that can be treated with paclitaxel, also known as taxol, which is usually pumped into the body inside hundreds of thousands of microscopic plastic spheres"
0,8, Tens of thousands of cancer patients stand to avoid gruelling side-effects after a discovery that could dramatically cut chemotherapy doses
0,8," More than , people a year in the UK are diagnosed with cancers that can be treated with paclitaxel, also known as taxol, which is usually pumped into the body inside hundreds of thousands of microscopic plastic spheres"
0,7," In mice, this stratagem allowed scientists to treat cancers with significantly smaller doses"
0,7," By using exosomes from white blood cells, we wrap the medicine in an invisibility cloak that hides it from the immune system"
0,7, The discovery that natural vehicles taken from a patient's immune system can be used to deliver common chemotherapy drugs to tumours is a perfect example of this need for caution
0,7," It is understandable, then, that the findings of this study have provoked excitement, with initial tests showing that the drug's ability to kill cancerous cells is increased by times when delivered in biological vessels"
0,7," In mice, this stratagem allowed scientists to treat cancers with significantly smaller doses"
