Topic0,Topic1,Topic2,Topic3
exosomes,nanotechnology,cancer,number
effects,college,liposomes,international
doses,london,cells,include
treatment,medicine,nanoparticles,areas
cancer,centre,tumours,journal
powerful,michael,particles,researchers
cells,director,treatment,clinical
humans,university,breast,medical
immune,medical,called,liposomes
chemotherapy,professor,study,cancer
times,department,drugs,patients
perfect,engineering,patients,college
vehicles,cambridge,effects,michael
trials,molecular,carrying,director
cancers,imperial,cancerous,institute
patients,scientist,developed,scientist
blood,technology,effective,department
human,environment,healthy,sparing
delivery,health,medicines,delivered
batrakova,future,deliver,accurately
